YEAR,SERIAL,MONTH,CPSID,ASECFLAG,ASECWTH,STATEFIP,METAREA,PERNUM,CPSIDV,CPSIDP,ASECWT,AGE,SEX,RACE,IND,EDUC,INCTOT
2015,58203,3,2.01501E+13,1,2670.75,47,9998,4,2.01501E+14,2.01501E+13,3007.25,0,1,100,0,1,999999999
2015,58205,3,0,1,2205.64,47,9998,1,0,0,2205.64,54,2,200,7860,123,50000
2015,58205,3,0,1,2205.64,47,9998,2,0,0,2205.64,80,1,200,0,73,24000
2015,58205,3,0,1,2205.64,47,9998,3,0,0,2624.41,16,2,200,0,60,0
2015,58206,3,0,1,2538.57,47,9998,1,0,0,2538.57,59,1,200,6170,81,15490
2015,58207,3,0,1,2009.08,47,9998,1,0,0,2009.08,42,2,100,0,73,5976
2015,58207,3,0,1,2009.08,47,9998,2,0,0,2009.08,40,1,100,3390,91,47002
2015,58207,3,0,1,2009.08,47,9998,3,0,0,1927.8,16,1,100,0,40,3240
2015,58207,3,0,1,2009.08,47,9998,4,0,0,2123.15,5,2,100,0,1,999999999
2015,58208,3,0,1,2025.87,47,9998,1,0,0,2025.87,19,2,100,8680,73,1500
2015,58208,3,0,1,2025.87,47,9998,2,0,0,2016.72,9,1,100,0,1,999999999
2015,58208,3,0,1,2025.87,47,9998,3,0,0,1984.42,41,2,100,8680,92,39780
2015,58208,3,0,1,2025.87,47,9998,4,0,0,1984.42,39,1,100,0,73,13800
2015,58208,3,0,1,2025.87,47,9998,5,0,0,2025.87,17,2,100,0,50,3252
2015,58210,3,2.01412E+13,1,3286.44,47,9998,1,2.01412E+14,2.01412E+13,3286.44,27,1,100,3570,81,35000
2015,58210,3,2.01412E+13,1,3286.44,47,9998,2,2.01412E+14,2.01412E+13,3286.44,22,2,100,0,81,0
2015,58211,3,2.01502E+13,1,1463.94,47,9998,1,2.01502E+14,2.01502E+13,1463.94,56,2,802,0,92,19020
2015,58211,3,2.01502E+13,1,1463.94,47,9998,2,2.01502E+14,2.01502E+13,1710.85,39,2,802,0,81,0
2015,58211,3,2.01502E+13,1,1463.94,47,9998,3,2.01502E+14,2.01502E+13,1733.31,7,1,802,0,1,999999999
2015,58211,3,2.01502E+13,1,1463.94,47,9998,4,2.01502E+14,2.01502E+13,2516.22,0,2,802,0,1,999999999
2015,58213,3,2.01502E+13,1,2486.48,47,9998,1,2.01502E+14,2.01502E+13,2486.48,55,2,100,0,30,10572
2015,58213,3,2.01502E+13,1,2486.48,47,9998,2,2.01502E+14,2.01502E+13,2296.32,77,1,100,0,10,9732
2015,58217,3,2.01412E+13,1,1196.33,47,9998,1,2.01412E+14,2.01412E+13,1196.33,79,2,802,0,30,19248
2015,58218,3,2.01412E+13,1,1415.22,47,9998,1,2.01412E+14,2.01412E+13,1415.22,26,2,100,0,73,0
2015,58218,3,2.01412E+13,1,1415.22,47,9998,2,2.01412E+14,2.01412E+13,1415.22,33,1,100,3570,73,16000
2015,58218,3,2.01412E+13,1,1415.22,47,9998,3,2.01412E+14,2.01412E+13,1314.81,6,2,100,0,1,999999999
2015,58220,3,2.01502E+13,1,2303.18,47,9998,1,2.01502E+14,2.01502E+13,2303.18,72,2,100,0,81,14099
2015,58221,3,2.01502E+13,1,2615.74,47,9998,1,2.01502E+14,2.01502E+13,2615.74,73,1,100,0,30,14231
2015,58222,3,2.01501E+13,1,2436.57,47,9998,1,2.01501E+14,2.01501E+13,2436.57,75,2,100,0,50,15554
2015,58223,3,2.01503E+13,1,1527.34,47,9998,1,2.01503E+14,2.01503E+13,1527.34,61,2,200,0,81,0
2015,58223,3,2.01503E+13,1,1527.34,47,9998,2,2.01503E+14,2.01503E+13,1527.34,65,1,200,0,71,24380
2015,58223,3,2.01503E+13,1,1527.34,47,9998,3,2.01503E+14,2.01503E+13,1764.61,42,2,200,2970,92,20000
2015,58223,3,2.01503E+13,1,1527.34,47,9998,4,2.01503E+14,2.01503E+13,1444.42,16,1,200,0,50,0
2015,58223,3,2.01503E+13,1,1527.34,47,9998,5,2.01503E+14,2.01503E+13,1351.42,11,1,200,0,1,999999999
2015,58224,3,2.01503E+13,1,1423.33,47,9998,1,2.01503E+14,2.01503E+13,1423.33,69,1,200,0,81,26190
2015,58226,3,2.01412E+13,1,1316.79,47,9998,1,2.01412E+14,2.01412E+13,1316.79,66,1,100,0,81,37118
2015,58226,3,2.01412E+13,1,1316.79,47,9998,2,2.01412E+14,2.01412E+13,1371.52,44,2,100,7860,111,40000
2015,58226,3,2.01412E+13,1,1316.79,47,9998,3,2.01412E+14,2.01412E+13,1400.17,16,2,100,0,50,12059
2015,58230,3,2.01502E+13,1,2229.96,47,9998,1,2.01502E+14,2.01502E+13,2229.96,65,2,100,0,40,8136
2015,58231,3,2.01503E+13,1,1780.71,47,9998,1,2.01503E+14,2.01503E+13,1780.71,31,1,200,8180,73,80000
2015,58231,3,2.01503E+13,1,1780.71,47,9998,2,2.01503E+14,2.01503E+13,1780.71,31,2,200,8680,73,19800
2015,58231,3,2.01503E+13,1,1780.71,47,9998,3,2.01503E+14,2.01503E+13,2008.18,8,1,200,0,1,999999999
2015,58231,3,2.01503E+13,1,1780.71,47,9998,4,2.01503E+14,2.01503E+13,1518.97,5,1,200,0,1,999999999
2015,58236,3,2.01502E+13,1,2177.14,47,9998,1,2.01502E+14,2.01502E+13,2177.14,85,2,100,0,30,12059
2015,58237,3,2.01412E+13,1,2526.67,47,9998,1,2.01412E+14,2.01412E+13,2526.67,69,2,100,0,92,10452
2015,58238,3,2.01503E+13,1,2577.87,47,9998,1,2.01503E+14,2.01503E+13,2577.87,50,1,100,0,111,38315
2015,58238,3,2.01503E+13,1,2577.87,47,9998,2,2.01503E+14,2.01503E+13,2577.87,45,2,100,0,92,0
2015,58238,3,2.01503E+13,1,2577.87,47,9998,3,2.01503E+14,2.01503E+13,2452.78,78,2,100,0,81,25332
2015,58239,3,2.01502E+13,1,2519.84,47,9998,1,2.01502E+14,2.01502E+13,2519.84,85,1,100,0,73,54314
2015,58240,3,2.01503E+13,1,1527.34,47,9998,1,2.01503E+14,2.01503E+13,1527.34,63,2,200,0,73,9588
2015,58240,3,2.01503E+13,1,1527.34,47,9998,2,2.01503E+14,2.01503E+13,2264.71,43,1,200,3780,50,30000
2015,58240,3,2.01503E+13,1,1527.34,47,9998,3,2.01503E+14,2.01503E+13,2379.96,39,1,200,8770,50,0
2015,58240,3,2.01503E+13,1,1527.34,47,9998,4,2.01503E+14,2.01503E+13,2379.96,38,1,200,0,50,0
2015,58241,3,2.01503E+13,1,2452.78,47,9998,1,2.01503E+14,2.01503E+13,2452.78,79,2,100,0,73,19248
2015,58242,3,2.01502E+13,1,2229.96,47,9998,1,2.01502E+14,2.01502E+13,2229.96,67,2,100,0,73,24779
2015,58242,3,2.01502E+13,1,2229.96,47,9998,2,2.01502E+14,2.01502E+13,3765.02,48,1,100,7860,73,2900
2015,58242,3,2.01502E+13,1,2229.96,47,9998,3,2.01502E+14,2.01502E+13,2742.6,23,1,100,0,73,24
2015,58243,3,2.01501E+13,1,2406.86,47,9998,1,2.01501E+14,2.01501E+13,2406.86,52,2,100,0,81,10000
